Category,Question,Response
RBF-Serial - 1,Cannot serial to SUT ,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Serial - 1,Not able to access serial port through putty and mobaxterm NUC 68289,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-KVM - 1,Update KVM setup BKM with step to reset KVM,"To get KVM option in OneCloud, kindly file ticket to RBF for requesting adding KVM option. "
RBF-BKC update - 2,WIM image PD is not connected to 68234,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-KVM - 1,Cluster 66227 SUT - KVM attachment required,"To get KVM option in OneCloud, kindly file ticket to RBF for requesting adding KVM option. "
RBF-VNC - 1,[MTL-PS][68671] - Not able to access NUC via Direct VNC link,"You can try to fix the VNC issue in your host machine as below: 

1. ps -ef | grep vnc ----> to see which VNC services are running.
2. pkill <vnc session id>
3. reboot NUC

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
Ending,"Thank you, that was helpful.",Thanks for using RBF Chatbot! Have a nice day ! :)
RBF-Debug - 4,GIO service is lost in my NUC ,Your host machine is not finishing the Post Software Installation. Kindly reimage your host machine. 
RBF-BKC update - 3,RPL-p IFWI binary flash,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 

"
RBF-Network - 1,Cannot access to my host machine or system,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Peripheral - 1,[HY]USB blaster not detecting in 66215,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Peripheral - 3,TTK is not working cluster 68651,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 
4. Check TTK3 version. 
5. Check TTK3 configuration 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Network - 3,[HY] Need to do DHCP Reservation for PRC Setups From 66405 to 66407,"To register IP for your system,

kindly file a ticket to RBF. "
RBF-New setup - 1,Create cluster ID for 3x new MTL-P setup,Kindly file ticket to RBF and clearly mentioned the setup requirement. 
RBF-Debug - 10,F2 button is not responding ,"You may try to boot to BIOS with command in OS. 
Sudo systemctl reboot --firmware-setup"
RBF-Peripheral - 3,TTK3 BIOS programming console not accessible,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 
4. Check TTK3 version. 
5. Check TTK3 configuration 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Network - 2,flash onboard NIC bkm,"To update mac address in SUT, kindly follow the step below: 

1."
RBF-Network - 3,Please register DDI for this cluster's host 68498,"To register IP for your system,

kindly file a ticket to RBF. "
RBF-Peripheral - 1,[HY]bios ports are not connecting for the cluster 66274,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Network - 2,mac address flashing in my SUT ,"To update mac address in SUT, kindly follow the step below: 

1."
RBF-Debug - 11,any reason causing apt-get update fail? ,"This issue might be caused by the proxy settings.

Please make sure the proxy settings as below: 
nano /etc/resolv.conf
	• Add this line in
	• nameserver 10.248.2.1
	• And Save
nano /etc/environment
	• Add this line in
	• http_proxy=http://proxy-dmz.intel.com:911
	• https_proxy=http://proxy-dmz.intel.com:912
	• export http_proxy https_proxy
And Save

If the issue still exists, kindly file a ticket to RBF for further troubleshooting."
RBF-Peripheral - 4,Reconnect the ITP on 65269,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Check ITP connection
3. Change USB port
4. Reinstall driver.
5. run python update_tools 
If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Debug - 3,Setup PXE flashing ,"To setup PXE flashing, these are the steps: 
1. Connect lan cable to onboard NIC or added NIC card (I210 with flashed opprom, I215, I216) 
2. Register new mac address to DDI and update details in OneCloud. 
3. Resync testbed data
4. Enable Onboard NIC in BIOS setting (Intel Advanced Menu > PCH-IO Configuration > EFI Network > Choose Onboard NIC & WIFI) 
5. Set your PXEv4 boot as your first boot up option. 
6. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform PXE flashing. 
"
RBF-Silicon Change - 1,[HY]Enable system 66260 with 1 Socket VRAN CPU Q39Y and PCH QYKV,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Silicon Change - 1,Enable System 65258 with 2S Mainline Silicon Q40U,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-BKC update - 2,[Cluster#68476] Flash specific ubuntu image on ADL-N manually,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-Silicon Change - 1,To swap silicon between SUTs cluster 68606 and 68608,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Serial - 1,66313 [DPMO][HY] BMC serial Port is not working in mobaxterm,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Network - 1,Cluster 68473: SUT [IP: 172.22.33.226] is not accessible,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Debug - 3,[ADL][N] Set the MAC Address and enable PXE,"To setup PXE flashing, these are the steps: 
1. Connect lan cable to onboard NIC or added NIC card (I210 with flashed opprom, I215, I216) 
2. Register new mac address to DDI and update details in OneCloud. 
3. Resync testbed data
4. Enable Onboard NIC in BIOS setting (Intel Advanced Menu > PCH-IO Configuration > EFI Network > Choose Onboard NIC & WIFI) 
5. Set your PXEv4 boot as your first boot up option. 
6. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform PXE flashing. 
"
RBF-BKC update - 3,Enable system 68221 with M.2 NVME,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 

"
RBF-Debug - 4,Missing GIO service in my NUC ,Your host machine is not finishing the Post Software Installation. Kindly reimage your host machine. 
RBF-Peripheral - 3,[MTL-PS][68671] - TTK not able to detect SUT chip.,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 
4. Check TTK3 version. 
5. Check TTK3 configuration 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Silicon Change - 1,Enable system 66265 with 2 Socket Mainline CPU Q3EW and PCH QYKV,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-KVM - 1,Cluster 68363 & 68364 unable to access KVM,"To get KVM option in OneCloud, kindly file ticket to RBF for requesting adding KVM option. "
RBF-BKC update - 3,[Cluster#68385] Need to flash IFWI on RPL-P manually,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 

"
RBF-Debug - 1,65215 - SUT is down,"There is few possibility which causing board cannot boot up. 
1. Incorrect IFWI
2. Faulty Board 
3. Corrupted drive 
4. PDU Failure 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Debug - 5,my SUT is not booting to uos server ,Kindly ensure that the network connection is connected to NIC and the bootfile details in DDI is correct. Wrong bootfile details might leads to wrong boot destination. 
